"timestamp","jurisdiction","offender_profiles","arrestee","forensic_profiles","ndis_labs","investigations_aided","capture_date","year","month","quarter","era","total_profiles","profiles_per_lab","forensic_ratio","data_quality_flag","lat","lng"
2010-10-14 04:38:19,"California",1295199,0,28456,20,12777,2010-10-14,"2010","October",4,"2010-2014",1323655,66182.75,0.0214980489629095,"Valid",36.1162,-119.6816
2012-07-01 05:27:45,"California",1398162,475205,41990,22,21667,2012-07-01,"2012","July",3,"2010-2014",1915357,87061.6818181818,0.0219228060356372,"Valid",36.1162,-119.6816
2012-08-15 16:01:13,"California",1400221,485585,42558,22,21667,2012-08-15,"2012","August",3,"2010-2014",1928364,87652.9090909091,0.0220694848068103,"Valid",36.1162,-119.6816
2012-09-11 09:25:25,"California",1402107,496872,43065,22,22139,2012-09-11,"2012","September",3,"2010-2014",1942044,88274.7272727273,0.0221750897507986,"Valid",36.1162,-119.6816
2012-09-13 07:44:30,"California",1402107,496872,43065,22,22139,2012-09-13,"2012","September",3,"2010-2014",1942044,88274.7272727273,0.0221750897507986,"Valid",36.1162,-119.6816
2012-09-13 07:44:44,"California",1402107,496872,43065,22,22139,2012-09-13,"2012","September",3,"2010-2014",1942044,88274.7272727273,0.0221750897507986,"Valid",36.1162,-119.6816
2012-09-15 12:42:15,"California",1402107,496872,43065,22,22139,2012-09-15,"2012","September",3,"2010-2014",1942044,88274.7272727273,0.0221750897507986,"Valid",36.1162,-119.6816
2012-09-21 12:24:19,"California",1402107,496872,43065,22,22139,2012-09-21,"2012","September",3,"2010-2014",1942044,88274.7272727273,0.0221750897507986,"Valid",36.1162,-119.6816
2012-09-27 16:19:52,"California",1405941,509430,43777,22,22605,2012-09-27,"2012","September",3,"2010-2014",1959148,89052.1818181818,0.0223449172803688,"Valid",36.1162,-119.6816
2012-09-27 16:23:04,"California",1405941,509430,43777,22,22605,2012-09-27,"2012","September",3,"2010-2014",1959148,89052.1818181818,0.0223449172803688,"Valid",36.1162,-119.6816
2012-09-28 03:18:50,"California",1405941,509430,43777,22,22605,2012-09-28,"2012","September",3,"2010-2014",1959148,89052.1818181818,0.0223449172803688,"Valid",36.1162,-119.6816
2012-10-06 22:38:03,"California",1405941,509430,43777,22,22605,2012-10-06,"2012","October",4,"2010-2014",1959148,89052.1818181818,0.0223449172803688,"Valid",36.1162,-119.6816
