state,offender_type,variable_category,variable_detailed,value,value_type,date
California,Convicted Offender,total,total_profiles,2019899,count,2018-07-05
California,Arrestee,total,total_profiles,751822,count,2018-07-05
California,Convicted Offender,gender,Female,309827,count,2018-07-05
California,Convicted Offender,gender,Male,1603222,count,2018-07-05
California,Convicted Offender,gender,Unknown,106850,count,2018-07-05
California,Arrestee,gender,Female,208225,count,2018-07-05
California,Arrestee,gender,Male,524231,count,2018-07-05
California,Arrestee,gender,Unknown,19366,count,2018-07-05
California,Convicted Offender,race,African American,368952,count,2018-07-05
California,Convicted Offender,race,Caucasian,588555,count,2018-07-05
California,Convicted Offender,race,Hispanic,652121,count,2018-07-05
California,Convicted Offender,race,Asian,16384,count,2018-07-05
California,Arrestee,race,African American,104741,count,2018-07-05
California,Arrestee,race,Caucasian,231313,count,2018-07-05
California,Arrestee,race,Hispanic,308450,count,2018-07-05
California,Arrestee,race,Asian,11191,count,2018-07-05
Florida,Combined,total,total_profiles,1175391,count,
Florida,Combined,total,total_profiles,100.00,percentage,
Florida,Combined,gender,Female,260885,count,
Florida,Combined,gender,Female,22.20,percentage,
Florida,Combined,gender,Male,901126,count,
Florida,Combined,gender,Male,76.67,percentage,
Florida,Combined,gender,Unknown,13380,count,
Florida,Combined,gender,Unknown,1.14,percentage,
Florida,Combined,race,African American,413733,count,
Florida,Combined,race,African American,35.20,percentage,
Florida,Combined,race,Asian,2659,count,
Florida,Combined,race,Asian,0.23,percentage,
Florida,Combined,race,Caucasian,721485,count,
Florida,Combined,race,Caucasian,61.38,percentage,
Florida,Combined,race,Hispanic,28452,count,
Florida,Combined,race,Hispanic,2.42,percentage,
Florida,Combined,race,Native American,667,count,
Florida,Combined,race,Native American,0.06,percentage,
Florida,Combined,race,Other,1176,count,
Florida,Combined,race,Other,0.10,percentage,
Florida,Combined,race,Unknown,7219,count,
Florida,Combined,race,Unknown,0.61,percentage,
Indiana,Convicted Offender,total,total_profiles,279654,count,2018-07-24
Indiana,Arrestee,total,total_profiles,21087,count,2018-07-24
Indiana,Combined,gender,Female,20,percentage,2018-07-24
Indiana,Combined,gender,Male,80,percentage,2018-07-24
Indiana,Combined,race,Caucasian,70,percentage,2018-07-24
Indiana,Combined,race,Black,26,percentage,2018-07-24
Indiana,Combined,race,Hispanic,4,percentage,2018-07-24
Indiana,Combined,race,Other,<1,percentage,2018-07-24
Maine,Combined,total,total_profiles,33711,count,2018-07-10
Maine,Combined,gender,Male,27694,count,2018-07-10
Maine,Combined,gender,Male,82.7,percentage,2018-07-10
Maine,Combined,gender,Female,5734,count,2018-07-10
Maine,Combined,gender,Female,17.0,percentage,2018-07-10
Maine,Combined,gender,Unknown,83,count,2018-07-10
Maine,Combined,gender,Unknown,0.2,percentage,2018-07-10
Maine,Combined,race,White,31298,count,2018-07-10
Maine,Combined,race,White,92.8,percentage,2018-07-10
Maine,Combined,race,Black,1299,count,2018-07-10
Maine,Combined,race,Black,3.9,percentage,2018-07-10
Maine,Combined,race,Unknown,470,count,2018-07-10
Maine,Combined,race,Unknown,1.4,percentage,2018-07-10
Maine,Combined,race,Native American,345,count,2018-07-10
Maine,Combined,race,Native American,1.0,percentage,2018-07-10
Maine,Combined,race,Hispanic,171,count,2018-07-10
Maine,Combined,race,Hispanic,0.5,percentage,2018-07-10
Maine,Combined,race,Asian,128,count,2018-07-10
Maine,Combined,race,Asian,0.4,percentage,2018-07-10
Nevada,All,total,total_flags,344097,count,2018
Nevada,Arrested offender,total,total_profiles,185074,count,2018
Nevada,Arrested offender,total,total_profiles,53.785,percentage,2018
Nevada,Convicted offenders,total,total_profiles,159023,count,2018
Nevada,Convicted offenders,total,total_profiles,46.215,percentage,2018
Nevada,Combined,gender,Female,63287,count,2018
Nevada,Combined,gender,Female,18.392,percentage,2018
Nevada,Combined,gender,Male,280738,count,2018
Nevada,Combined,gender,Male,81.587,percentage,2018
Nevada,Combined,gender,Unknown,72,count,2018
Nevada,Combined,gender,Unknown,0.0209,percentage,2018
Nevada,Combined,race,White,238723,count,2018
Nevada,Combined,race,White,69.377,percentage,2018
Nevada,Combined,race,Unknown,3491,count,2018
Nevada,Combined,race,Unknown,1.015,percentage,2018
Nevada,Combined,race,American Indian,5710,count,2018
Nevada,Combined,race,American Indian,1.659,percentage,2018
Nevada,Combined,race,Black,88174,count,2018
Nevada,Combined,race,Black,25.625,percentage,2018
Nevada,Combined,race,Asian,7999,count,2018
Nevada,Combined,race,Asian,2.346,percentage,2018
South Dakota,Combined,total,total_profiles,67753,count,2018-07-18
South Dakota,Combined,gender,Male,51197,count,2018-07-18
South Dakota,Combined,gender,Male,75.56,percentage,2018-07-18
South Dakota,Combined,gender,Female,16556,count,2018-07-18
South Dakota,Combined,gender,Female,24.44,percentage,2018-07-18
South Dakota,Combined,race,Asian,5,count,2018-07-18
South Dakota,Combined,race,Asian,0.08,percentage,2018-07-18
South Dakota,Combined,race,Black,4041,count,2018-07-18
South Dakota,Combined,race,Black,5.96,percentage,2018-07-18
South Dakota,Combined,race,Hispanic,2949,count,2018-07-18
South Dakota,Combined,race,Hispanic,4.35,percentage,2018-07-18
South Dakota,Combined,race,Native American,14593,count,2018-07-18
South Dakota,Combined,race,Native American,21.54,percentage,2018-07-18
South Dakota,Combined,race,Other/Unknown,891,count,2018-07-18
South Dakota,Combined,race,Other/Unknown,1.32,percentage,2018-07-18
South Dakota,Combined,race,White/Caucasian,45223,count,2018-07-18
South Dakota,Combined,race,White/Caucasian,66.75,percentage,2018-07-18
South Dakota,Combined,gender_race,Male_Asian,5,count,2018-07-18
South Dakota,Combined,gender_race,Male_Asian,0.10,percentage,2018-07-18
South Dakota,Combined,gender_race,Female_Asian,5,count,2018-07-18
South Dakota,Combined,gender_race,Female_Asian,0.03,percentage,2018-07-18
South Dakota,Combined,gender_race,Male_Black,3445,count,2018-07-18
South Dakota,Combined,gender_race,Male_Black,6.73,percentage,2018-07-18
South Dakota,Combined,gender_race,Female_Black,596,count,2018-07-18
South Dakota,Combined,gender_race,Female_Black,3.60,percentage,2018-07-18
South Dakota,Combined,gender_race,Male_Hispanic,2560,count,2018-07-18
South Dakota,Combined,gender_race,Male_Hispanic,5.00,percentage,2018-07-18
South Dakota,Combined,gender_race,Female_Hispanic,389,count,2018-07-18
South Dakota,Combined,gender_race,Female_Hispanic,2.35,percentage,2018-07-18
South Dakota,Combined,gender_race,Male_Native American,9699,count,2018-07-18
South Dakota,Combined,gender_race,Male_Native American,18.94,percentage,2018-07-18
South Dakota,Combined,gender_race,Female_Native American,4894,count,2018-07-18
South Dakota,Combined,gender_race,Female_Native American,29.56,percentage,2018-07-18
South Dakota,Combined,gender_race,Male_Other/Unknown,719,count,2018-07-18
South Dakota,Combined,gender_race,Male_Other/Unknown,1.40,percentage,2018-07-18
South Dakota,Combined,gender_race,Female_Other/Unknown,172,count,2018-07-18
South Dakota,Combined,gender_race,Female_Other/Unknown,1.04,percentage,2018-07-18
South Dakota,Combined,gender_race,Male_White/Caucasian,34723,count,2018-07-18
South Dakota,Combined,gender_race,Male_White/Caucasian,67.82,percentage,2018-07-18
South Dakota,Combined,gender_race,Female_White/Caucasian,10500,count,2018-07-18
South Dakota,Combined,gender_race,Female_White/Caucasian,63.42,percentage,2018-07-18
Texas,Offenders,total,total_profiles,845322,count,2018-06-19
Texas,Arrestee,total,total_profiles,73631,count,2018-06-19
Texas,Offenders,gender,Female,121434,count,2018-06-19
Texas,Arrestee,gender,Female,18721,count,2018-06-19
Texas,Offenders,race,Asian,3361,count,2018-06-19
Texas,Offenders,race,African American,254366,count,2018-06-19
Texas,Offenders,race,Caucasian,309010,count,2018-06-19
Texas,Offenders,race,Hispanic,276245,count,2018-06-19
Texas,Offenders,race,Native American,138,count,2018-06-19
Texas,Offenders,race,Other,2173,count,2018-06-19
Texas,Arrestee,race,Asian,497,count,2018-06-19
Texas,Arrestee,race,African American,12903,count,2018-06-19
Texas,Arrestee,race,Caucasian,33486,count,2018-06-19
Texas,Arrestee,race,Hispanic,24202,count,2018-06-19
Texas,Arrestee,race,Native American,24,count,2018-06-19
Texas,Arrestee,race,Other,358,count,2018-06-19
