timestamp,report_month,report_year,jurisdiction,offender_profiles,arrestee,forensic_profiles,ndis_labs,investigations_aided,capture_date,capture_year
20020413043436,,,Tennessee Stats Tennessee,12961,0,233,3,2,2002-04-13 04:34:36,2002
20020413043509,,,Utah Stats Utah,3804,0,105,1,2,2002-04-13 04:35:09,2002
20020413044841,,,Wyoming Stats Wyoming,4206,0,4,1,0,2002-04-13 04:48:41,2002
20020413053711,,,Indiana Stats Indiana,21598,0,118,3,67,2002-04-13 05:37:11,2002
20020413054733,,,Louisiana Stats Louisiana,0,0,0,0,0,2002-04-13 05:47:33,2002
20020413055257,,,Maine Stats Maine,3803,0,304,1,22,2002-04-13 05:52:57,2002
20020413060314,,,North Carolina Stats North Carolina,33187,0,883,2,63,2002-04-13 06:03:14,2002
20020413062018,,,Nevada Stats Nevada,3011,0,248,2,18,2002-04-13 06:20:18,2002
20020502225650,,,Minnesota Stats Minnesota,12772,0,1010,1,91,2002-05-02 22:56:50,2002
20020606181154,,,Alaska Stats Alaska,2927,0,53,1,6,2002-06-06 18:11:54,2002
20020606181243,,,Massachusetts Stats Massachusetts,9137,0,256,2,86,2002-06-06 18:12:43,2002
20020606181343,,,Alabama Stats Alabama,0,0,0,0,126,2002-06-06 18:13:43,2002
20020606181455,,,Arkansas Stats Arkansas,12182,0,146,1,11,2002-06-06 18:14:55,2002
20020606181503,,,Texas Stats Texas,109045,0,3295,15,243,2002-06-06 18:15:03,2002
20020606181813,,,Wisconsin Stats Wisconsin,48276,0,871,2,113,2002-06-06 18:18:13,2002
20020606181929,,,Colorado Stats Colorado,12117,0,143,3,18,2002-06-06 18:19:29,2002
20020606182354,,,California Stats California,41027,0,429,7,99,2002-06-06 18:23:54,2002
20020606182533,,,North Dakota Stats North Dakota,270,0,0,1,0,2002-06-06 18:25:33,2002
20020606182605,,,Connecticut Stats Connecticut,4749,0,277,1,46,2002-06-06 18:26:05,2002
20020606182745,,,Delaware Stats Delaware,0,0,0,1,0,2002-06-06 18:27:45,2002
20020606182806,,,Lab,0,0,1266,1,18,2002-06-06 18:28:06,2002
20020606183201,,,Nebraska Stats Nebraska,1551,0,44,1,0,2002-06-06 18:32:01,2002
20020606183338,,,Hawaii Stats Hawaii,0,0,0,0,0,2002-06-06 18:33:38,2002
20020606183359,,,Iowa Stats Iowa,0,0,0,0,0,2002-06-06 18:33:59,2002
